ProteinA,ProteinB,absTime,cellNr,fate,tree
0.496714153011,-1.22084364997,0,1,1,1cp
0.35844985184,1.55746939158,1,1,1,1cp
1.00613838994,2.75110911586,2,1,1,1cp
2.52916824635,2.96974743192,3,1,1,1cp
2.29501487163,3.85150847087,4,1,1,1cp
2.06087791468,2.842423128,5,1,1,1cp
3.64009073018,1.25912891446,6,1,1,1cp
4.40752545934,2.0328293313,7,1,1,1cp
3.9380510734,1.49468766963,8,1,1,1cp
4.48061111699,0.148009572274,9,1,1,1cp
4.01719342418,-0.732581693774,10,1,1,1cp
3.5514636706,-1.86313399846,11,1,1,1cp
3.79342594217,-1.72870511583,12,1,1,1cp
1.88014569751,-0.146582321114,13,1,1,1cp
0.155227865,1.74116613848,14,1,1,1cp
-0.407059664241,3.63549846859,15,1,1,1cp
-1.41989078458,5.39049626583,16,1,1,1cp
-0.10564345198,6.18333037573,17,1,1,1cp
-0.0136675275013,6.55985298074,18,1,1,1cp
-0.425971228837,6.0516996912,19,1,1,1cp
2.03967754008,8.15134666698,20,1,1,1cp
2.8139012396,8.97361454571,21,1,1,1cp
3.88142944429,9.56323123702,22,1,1,1cp
3.45668125807,11.7429475817,23,1,1,1cp
3.91229853355,11.8447396423,24,1,1,1cp
5.02322112326,13.6795350615,25,1,1,1cp
4.87222754584,14.9760964458,26,1,1,1cp
6.24792556418,14.9382665693,27,1,1,1cp
6.64728687426,15.8624628243,28,1,1,1cp
7.35559312447,17.835426358,29,1,1,1cp
7.75388651224,19.6310218219,30,1,1,1cp
10.6061646967,22.1264560748,31,1,1,1cp
11.592667472,23.4646373268,32,1,1,1cp
11.5349565431,27.8369335804,33,1,1,1cp
13.3575014552,27.9165427754,34,1,1,1cp
-1.41875045859,1.88618590121,35,2,1,1cp
-0.376258841252,2.06076371404,36,2,1,1cp
0.527273649374,2.31831410477,37,2,1,1cp
0.546273980436,2.243868189,38,2,1,1cp
0.0118575267625,0.3250969737,39,2,1,1cp
-1.48319634405,0.298583098251,40,2,1,1cp
-2.27245467275,0.358813308192,41,2,1,1cp
-1.52874338898,2.82205542068,42,2,1,1cp
-1.74090481069,2.6296944559,43,2,1,1cp
-2.16777360473,2.93124179823,44,2,1,1cp
-1.66632527321,3.89653002852,45,2,1,1cp
-0.508138620273,3.7278519909,46,2,1,1cp
-0.251021750217,5.87067480542,47,2,1,1cp
0.0634911456464,7.62260783811,48,2,1,1cp
2.4353532792,9.41363978515,49,2,1,1cp
3.61090657315,9.50425233035,50,2,1,1cp
4.30161802671,11.9070466413,51,2,1,1cp
5.97474352948,11.5051955785,52,2,1,1cp
6.71811334679,13.0920526723,53,2,1,1cp
7.35028762266,16.2825082981,54,2,1,1cp
9.62402124279,16.291971973,55,2,1,1cp
10.332068572,16.7256742434,56,2,1,1cp
8.67689252441,17.8253256085,57,2,1,1cp
10.0224104683,18.3218499543,58,2,1,1cp
10.6268940167,17.7711865233,59,2,1,1cp
11.3377571602,18.8397494981,60,2,1,1cp
12.7906934868,18.7774457844,61,2,1,1cp
13.6246325784,20.251038215,62,2,1,1cp
-0.919424234234,0.424486244056,35,3,1,1cp
0.630510170784,1.36502182902,36,3,1,1cp
-0.152743121553,0.497380739039,37,3,1,1cp
-0.474804637758,0.643242591467,38,3,1,1cp
0.338712579611,-0.726628465249,39,3,1,1cp
-0.892151736822,-1.49840921474,40,3,1,1cp
-0.664691802218,-0.619735666551,41,3,1,1cp
